stratum,year,popEst,sePopEst,VCF,seVCF
1,1975,1606,1372,2.43,0.46
2,1975,365,346,2.43,0.46
3,1975,9427,8145,2.43,0.46
4,1975,20363,11540,2.43,0.46
5,1975,0,0,2.43,0.46
6,1975,0,0,2.43,0.46
8,1975,0,0,2.43,0.46
9,1975,498,476,2.43,0.46
10,1975,0,0,2.43,0.46
11,1975,2169,1656,2.43,0.46
12,1975,4255,4024,2.59,0.46
13,1975,1421,846,2.59,0.46
14,1975,2173,2172,2.59,0.46
15,1975,0,0,2.59,0.46
16,1975,0,0,2.59,0.46
17,1975,13255,12049,2.59,0.46
18,1975,2253,2342,2.59,0.46
20,1975,7355,3857,2.59,0.46
21,1975,0,0,2.59,0.46
22,1975,2526,1322,2.59,0.46
23,1975,6996,6802,2.59,0.46
24,1975,6612,4029,2.59,0.46
25,1975,13349,3937,2.59,0.46
26,1975,69502,17072,0.82,0.19
27,1975,6043,1961,0.82,0.19
28,1975,1102,890,0.82,0.19
29,1975,2298,1355,0.82,0.19
30,1975,48832,16108,1.5,0.3
31,1975,64898,16332,1.5,0.3
32,1975,64877,14529,1.5,0.3
33,1975,1891,1103,1.5,0.3
34,1975,48691,7868,2.22,0.33
35,1975,23695,4561,2.22,0.33
36,1975,4999,2346,2.22,0.33
37,1975,29666,6289,2.22,0.33
38,1975,928,702,2.22,0.33
39,1975,15173,4844,2.22,0.33
40,1975,26799,7405,2.22,0.33
41,1975,2112,1991,2.02,0.7
42,1975,0,0,2.02,0.7
43,1975,0,0,2.02,0.7
44,1975,0,0,2.02,0.7
45,1975,33367,6962,2.07,0.32
46,1975,5919,1484,2.07,0.32
47,1975,0,0,2.07,0.32
48,1975,2363,2008,2.07,0.32
49,1975,3236,3345,2.07,0.32
75,1975,32235.07,25328.64,2.59,0.46
76,1975,0,0,2.59,0.46
77,1975,5577.03,5231.24,2.59,0.46
1,1976,0,0,2.43,0.46
2,1976,0,0,2.43,0.46
3,1976,8399,4634,2.43,0.46
4,1976,39413,13692,2.43,0.46
5,1976,0,0,2.43,0.46
6,1976,0,0,2.43,0.46
8,1976,0,0,2.43,0.46
9,1976,0,0,2.43,0.46
10,1976,0,0,2.43,0.46
11,1976,0,0,2.43,0.46
12,1976,0,0,2.59,0.46
13,1976,2132,1391,2.59,0.46
14,1976,1127,1193,2.59,0.46
15,1976,9689,7354,2.59,0.46
16,1976,0,0,2.59,0.46
17,1976,9037,2845,2.59,0.46
18,1976,0,0,2.59,0.46
20,1976,15645,6637,2.59,0.46
21,1976,3275,2190,2.59,0.46
22,1976,12628,4328,2.59,0.46
23,1976,1230,1320,2.59,0.46
24,1976,5735,5019,2.59,0.46
25,1976,16611,4850,2.59,0.46
26,1976,44772,8363,1.64,0.25
27,1976,3339,1417,1.64,0.25
28,1976,2193,885,1.64,0.25
29,1976,1777,541,1.64,0.25
30,1976,64265,21448,1.81,0.36
31,1976,64616,28762,1.81,0.36
32,1976,78939,21071,1.81,0.36
33,1976,5471,4531,1.81,0.36
34,1976,51661,25203,2.97,1.07
35,1976,18325,7490,2.97,1.07
36,1976,7815,7360,2.97,1.07
37,1976,48001,29199,2.97,1.07
38,1976,0,0,2.97,1.07
39,1976,19851,7808,2.97,1.07
40,1976,35111,15585,2.97,1.07
41,1976,13066,7710,2.02,0.7
42,1976,3165,1986,2.02,0.7
43,1976,5484,4208,2.02,0.7
44,1976,2555,2479,2.02,0.7
45,1976,5845,2494,1.79,0.31
46,1976,3973,1454,1.79,0.31
47,1976,0,0,1.79,0.31
48,1976,560,377,1.79,0.31
49,1976,0,0,1.79,0.31
75,1976,2479.62,1948.35,2.59,0.46
76,1976,0,0,2.59,0.46
77,1976,0,0,2.59,0.46
1,1977,8029,8769,2.43,0.46
2,1977,0,0,2.43,0.46
3,1977,35034,19221,2.43,0.46
4,1977,96890,39405,2.43,0.46
5,1977,4888,2087,2.43,0.46
6,1977,1372,671,2.43,0.46
8,1977,2094,2011,2.43,0.46
9,1977,7965,7225,2.43,0.46
10,1977,3122,965,2.43,0.46
11,1977,3254,2275,2.43,0.46
12,1977,5248,2661,2.59,0.46
13,1977,4975,3015,2.59,0.46
14,1977,7323,6227,2.59,0.46
15,1977,0,0,2.59,0.46
16,1977,3172,3887,2.59,0.46
17,1977,3615,3610,2.59,0.46
18,1977,4506,4684,2.59,0.46
20,1977,9762,2493,2.59,0.46
21,1977,672,662,2.59,0.46
22,1977,16100,7554,2.59,0.46
23,1977,0,0,2.59,0.46
24,1977,12067,12740,2.59,0.46
25,1977,16158,5964,2.59,0.46
26,1977,55472,13664,1.58,0.24
27,1977,1027,548,1.58,0.24
28,1977,3012,1170,1.58,0.24
29,1977,5128,2288,1.58,0.24
30,1977,87268,26534,2.3,0.39
31,1977,62643,31102,2.3,0.39
32,1977,61639,13784,2.3,0.39
33,1977,3479,2075,2.3,0.39
34,1977,28372,8482,2.39,0.4
35,1977,13060,5365,2.39,0.4
36,1977,0,0,2.39,0.4
37,1977,30241,11186,2.39,0.4
38,1977,0,0,2.39,0.4
39,1977,8133,4566,2.39,0.4
40,1977,19788,9132,2.39,0.4
41,1977,3168,1877,2.02,0.7
42,1977,0,0,2.02,0.7
43,1977,1828,1869,2.02,0.7
44,1977,2044,1352,2.02,0.7
45,1977,6937,2874,1.8,0.33
46,1977,1517,777,1.8,0.33
47,1977,0,0,1.8,0.33
48,1977,281,280,1.8,0.33
49,1977,666,550,1.8,0.33
75,1977,1239.81,974.17,2.59,0.46
76,1977,0,0,2.59,0.46
77,1977,14723.37,8494.79,2.59,0.46
1,1978,1338,1461,2.43,0.46
2,1978,0,0,2.43,0.46
3,1978,9599,7671,2.43,0.46
4,1978,32187,16553,2.43,0.46
5,1978,0,0,2.43,0.46
6,1978,0,0,2.43,0.46
8,1978,0,0,2.43,0.46
9,1978,1493,1428,2.43,0.46
10,1978,2342,2434,2.43,0.46
11,1978,542,531,2.43,0.46
12,1978,284,268,2.59,0.46
13,1978,2843,2041,2.59,0.46
14,1978,2253,2266,2.59,0.46
15,1978,2528,1998,2.59,0.46
16,1978,3172,3554,2.59,0.46
17,1978,7230,4078,2.59,0.46
18,1978,0,0,2.59,0.46
20,1978,7889,3138,2.59,0.46
21,1978,1827,949,2.59,0.46
22,1978,2526,1789,2.59,0.46
23,1978,2018,2028,2.59,0.46
24,1978,6033,3907,2.59,0.46
25,1978,20386,5931,2.59,0.46
26,1978,41376,6991,1.6,0.14
27,1978,3917,1284,1.6,0.14
28,1978,2450,1347,1.6,0.14
29,1978,3475,640,1.6,0.14
30,1978,38774,13888,1.46,0.28
31,1978,25730,9915,1.46,0.28
32,1978,35746,8156,1.46,0.28
33,1978,738,443,1.46,0.28
34,1978,21987,6839,1.01,0.22
35,1978,6022,2041,1.01,0.22
36,1978,570,534,1.01,0.22
37,1978,14045,4422,1.01,0.22
38,1978,0,0,1.01,0.22
39,1978,6977,2109,1.01,0.22
40,1978,15691,4716,1.01,0.22
41,1978,5939,3297,2.02,0.7
42,1978,452,430,2.02,0.7
43,1978,1371,1364,2.02,0.7
44,1978,0,0,2.02,0.7
45,1978,8722,2218,2.12,0.33
46,1978,6928,2111,2.12,0.33
47,1978,0,0,2.12,0.33
48,1978,10255,5220,2.12,0.33
49,1978,2071,1963,2.12,0.33
75,1978,0,0,2.59,0.46
76,1978,3387.2,2661.49,2.59,0.46
77,1978,4015.46,2800.8,2.59,0.46
1,1979,0,0,2.43,0.46
2,1979,0,0,2.43,0.46
3,1979,19198,12638,2.43,0.46
4,1979,33501,11329,2.43,0.46
5,1979,752,514,2.43,0.46
6,1979,2494,2377,2.43,0.46
8,1979,0,0,2.43,0.46
9,1979,1991,1452,2.43,0.46
10,1979,0,0,2.43,0.46
11,1979,0,0,2.43,0.46
12,1979,3688,2676,2.59,0.46
13,1979,12081,5341,2.59,0.46
14,1979,0,0,2.59,0.46
15,1979,0,0,2.59,0.46
16,1979,0,0,2.59,0.46
17,1979,0,0,2.59,0.46
18,1979,0,0,2.59,0.46
20,1979,9360,4782,2.59,0.46
21,1979,609,605,2.59,0.46
22,1979,5998,2262,2.59,0.46
23,1979,1968,1980,2.59,0.46
24,1979,0,0,2.59,0.46
25,1979,11627,3444,2.59,0.46
26,1979,34185,8016,2.42,0.5
27,1979,5509,2049,2.42,0.5
28,1979,5538,3042,2.42,0.5
29,1979,8230,5780,2.42,0.5
30,1979,84134,35297,2.2,0.4
31,1979,54544,15535,2.2,0.4
32,1979,73837,18143,2.2,0.4
33,1979,5557,1786,2.2,0.4
34,1979,46451,17265,2.08,0.59
35,1979,16408,5817,2.08,0.59
36,1979,1563,1467,2.08,0.59
37,1979,17851,5289,2.08,0.59
38,1979,435,337,2.08,0.59
39,1979,9637,3695,2.08,0.59
40,1979,19830,6936,2.08,0.59
41,1979,8183,5473,2.02,0.7
42,1979,2260,1577,2.02,0.7
43,1979,10511,6161,2.02,0.7
44,1979,1533,1523,2.02,0.7
45,1979,23687,4935,2.3,0.36
46,1979,8497,2958,2.3,0.36
47,1979,0,0,2.3,0.36
48,1979,3594,2145,2.3,0.36
49,1979,426,344,2.3,0.36
75,1979,23556.4,5741.08,2.59,0.46
76,1979,0,0,2.59,0.46
77,1979,6829.02,3544.29,2.59,0.46
1,1980,0,0,2.43,0.46
2,1980,1095,838,2.43,0.46
3,1980,21940,20966,2.43,0.46
4,1980,97219,40533,2.43,0.46
5,1980,1504,790,2.43,0.46
6,1980,499,346,2.43,0.46
8,1980,0,0,2.43,0.46
9,1980,13441,6703,2.43,0.46
10,1980,2676,2231,2.43,0.46
11,1980,4881,2366,2.43,0.46
12,1980,8227,2493,2.59,0.46
13,1980,12792,3900,2.59,0.46
14,1980,1127,1054,2.59,0.46
15,1980,0,0,2.59,0.46
16,1980,0,0,2.59,0.46
17,1980,3615,1979,2.59,0.46
18,1980,12391,9568,2.59,0.46
20,1980,18988,9600,2.59,0.46
21,1980,0,0,2.59,0.46
22,1980,7577,3292,2.59,0.46
23,1980,1193,1207,2.59,0.46
24,1980,15499,15835,2.59,0.46
25,1980,30050,8584,2.59,0.46
26,1980,55927,11391,2.88,0.43
27,1980,1875,593,2.88,0.43
28,1980,1649,974,2.88,0.43
29,1980,2674,2079,2.88,0.43
30,1980,125243,44301,3.7,0.99
31,1980,69961,26974,3.7,0.99
32,1980,67319,20759,3.7,0.99
33,1980,4669,1733,3.7,0.99
34,1980,28475,8656,1.14,0.18
35,1980,11538,3598,1.14,0.18
36,1980,2787,1395,1.14,0.18
37,1980,23041,4477,1.14,0.18
38,1980,0,0,1.14,0.18
39,1980,8975,3815,1.14,0.18
40,1980,11032,2585,1.14,0.18
41,1980,4771,1595,3.65,0.72
42,1980,0,0,3.65,0.72
43,1980,1652,1642,3.65,0.72
44,1980,924,940,3.65,0.72
45,1980,23501,8459,2.47,0.4
46,1980,3385,1566,2.47,0.4
47,1980,0,0,2.47,0.4
48,1980,6167,5760,2.47,0.4
49,1980,914,754,2.47,0.4
75,1980,6818.95,5357.98,2.59,0.46
76,1980,0,0,2.59,0.46
77,1980,10707.91,10258.36,2.59,0.46
1,1981,0,0,2.43,0.46
2,1981,0,0,2.43,0.46
3,1981,17827,9157,2.43,0.46
4,1981,62732,26808,2.43,0.46
5,1981,3008,2484,2.43,0.46
6,1981,249,238,2.43,0.46
8,1981,0,0,2.43,0.46
9,1981,21406,9976,2.43,0.46
10,1981,5352,4695,2.43,0.46
11,1981,12745,10095,2.43,0.46
12,1981,9504,1999,2.59,0.46
13,1981,21675,7960,2.59,0.46
14,1981,5867,3867,2.59,0.46
15,1981,4845,6022,2.59,0.46
16,1981,0,0,2.59,0.46
17,1981,12652,7705,2.59,0.46
18,1981,36045,14124,2.59,0.46
20,1981,26075,6367,2.59,0.46
21,1981,4705,3579,2.59,0.46
22,1981,18941,8271,2.59,0.46
23,1981,13118,6007,2.59,0.46
24,1981,8181,4818,2.59,0.46
25,1981,35185,12109,2.59,0.46
26,1981,43384,14440,1.51,0.44
27,1981,3201,2306,1.51,0.44
28,1981,2599,899,1.51,0.44
29,1981,234,238,1.51,0.44
30,1981,49398,17670,2.22,0.23
31,1981,21468,5580,2.22,0.23
32,1981,11641,3873,2.22,0.23
33,1981,1120,1084,2.22,0.23
34,1981,21320,9492,1.44,0.34
35,1981,5152,3552,1.44,0.34
36,1981,2159,2022,1.44,0.34
37,1981,30827,8611,1.44,0.34
38,1981,1203,921,1.44,0.34
39,1981,8438,2730,1.44,0.34
40,1981,23248,7609,1.44,0.34
41,1981,4520,2512,1.87,0.77
42,1981,837,624,1.87,0.77
43,1981,0,0,1.87,0.77
44,1981,0,0,1.87,0.77
45,1981,25815,7014,2.28,0.36
46,1981,6134,2420,2.28,0.36
47,1981,0,0,2.28,0.36
48,1981,2136,1766,2.28,0.36
49,1981,3800,2917,2.28,0.36
75,1981,4959.24,3896.71,2.59,0.46
76,1981,15242.43,11976.71,2.59,0.46
77,1981,6146.12,3300.7,2.59,0.46
1,1982,1873,1396,2.43,0.46
2,1982,0,0,2.43,0.46
3,1982,10627,5570,2.43,0.46
4,1982,63718,25669,2.43,0.46
5,1982,752,725,2.43,0.46
6,1982,10474,9736,2.43,0.46
8,1982,0,0,2.43,0.46
9,1982,6472,2959,2.43,0.46
10,1982,0,0,2.43,0.46
11,1982,1627,1592,2.43,0.46
12,1982,3972,3387,2.59,0.46
13,1982,4975,2275,2.59,0.46
14,1982,2173,2172,2.59,0.46
15,1982,0,0,2.59,0.46
16,1982,0,0,2.59,0.46
17,1982,22292,10026,2.59,0.46
18,1982,2253,1740,2.59,0.46
20,1982,4948,2427,2.59,0.46
21,1982,0,0,2.59,0.46
22,1982,15574,7016,2.59,0.46
23,1982,2624,1775,2.59,0.46
24,1982,1636,1667,2.59,0.46
25,1982,16007,4673,2.59,0.46
26,1982,56818,17963,1.69,0.35
27,1982,8243,4245,1.69,0.35
28,1982,7412,4166,1.69,0.35
29,1982,1306,807,1.69,0.35
30,1982,17830,8758,2.29,0.25
31,1982,33160,9270,2.29,0.25
32,1982,45066,7937,2.29,0.25
33,1982,5190,1987,2.29,0.25
34,1982,34608,6750,1.8,0.33
35,1982,16041,4907,1.8,0.33
36,1982,1186,1109,1.8,0.33
37,1982,14571,4739,1.8,0.33
38,1982,0,0,1.8,0.33
39,1982,9136,2495,1.8,0.33
40,1982,24586,6632,1.8,0.33
41,1982,12521,5778,2.26,0.83
42,1982,0,0,2.26,0.83
43,1982,0,0,2.26,0.83
44,1982,0,0,2.26,0.83
45,1982,21887,6431,2.32,0.35
46,1982,10523,4027,2.32,0.35
47,1982,0,0,2.32,0.35
48,1982,1811,1005,2.32,0.35
49,1982,430,485,2.32,0.35
75,1982,1239.81,974.17,2.59,0.46
76,1982,0,0,2.59,0.46
77,1982,12046.4,8342.72,2.59,0.46
1,1983,0,0,2.43,0.46
2,1983,0,0,2.43,0.46
3,1983,25883,21062,2.43,0.46
4,1983,70943,30608,2.43,0.46
5,1983,1880,1344,2.43,0.46
6,1983,748,713,2.43,0.46
8,1983,524,503,2.43,0.46
9,1983,498,476,2.43,0.46
10,1983,1338,1613,2.43,0.46
11,1983,3254,2913,2.43,0.46
12,1983,3404,2527,2.59,0.46
13,1983,19188,6677,2.59,0.46
14,1983,3380,2326,2.59,0.46
15,1983,0,0,2.59,0.46
16,1983,0,0,2.59,0.46
17,1983,0,0,2.59,0.46
18,1983,0,0,2.59,0.46
20,1983,18052,7436,2.59,0.46
21,1983,0,0,2.59,0.46
22,1983,12628,8092,2.59,0.46
23,1983,0,0,2.59,0.46
24,1983,894,900,2.59,0.46
25,1983,14648,6707,2.59,0.46
26,1983,35318,13626,2.22,0.3
27,1983,8660,2754,2.22,0.3
28,1983,2962,1180,2.22,0.3
29,1983,2744,673,2.22,0.3
30,1983,62222,10329,2.89,0.42
31,1983,45661,19735,2.89,0.42
32,1983,68185,13310,2.89,0.42
33,1983,6915,5108,2.89,0.42
34,1983,18438,4154,1.01,0.19
35,1983,11280,2812,1.01,0.19
36,1983,758,709,1.01,0.19
37,1983,10562,3554,1.01,0.19
38,1983,211,160,1.01,0.19
39,1983,8312,2073,1.01,0.19
40,1983,13539,4548,1.01,0.19
41,1983,2946,1591,2.26,0.83
42,1983,2018,2049,2.26,0.83
43,1983,1530,1564,2.26,0.83
44,1983,0,0,2.26,0.83
45,1983,7893,2432,2.56,0.43
46,1983,2966,1066,2.56,0.43
47,1983,0,0,2.56,0.43
48,1983,399,386,2.56,0.43
49,1983,1894,1039,2.56,0.43
75,1983,13637.91,10715.96,2.59,0.46
76,1983,0,0,2.59,0.46
77,1983,14723.37,8007.79,2.59,0.46
1,1984,803,537,2.43,0.46
2,1984,730,692,2.43,0.46
3,1984,20226,9453,2.43,0.46
4,1984,70943,28713,2.43,0.46
5,1984,2256,1770,2.43,0.46
6,1984,499,346,2.43,0.46
7,1984,876,729,2.43,0.46
8,1984,524,503,2.43,0.46
9,1984,11699,8494,2.43,0.46
10,1984,0,0,2.43,0.46
11,1984,5695,5572,2.43,0.46
12,1984,3972,3755,2.59,0.46
13,1984,24518,4454,2.59,0.46
14,1984,9013,5343,2.59,0.46
15,1984,0,0,2.59,0.46
16,1984,0,0,2.59,0.46
17,1984,8435,3464,2.59,0.46
18,1984,4506,1507,2.59,0.46
20,1984,3744,2165,2.59,0.46
21,1984,1458,967,2.59,0.46
22,1984,10102,3065,2.59,0.46
23,1984,0,0,2.59,0.46
24,1984,4909,3668,2.59,0.46
25,1984,17970,6027,2.59,0.46
26,1984,23424,5923,1.96,0.33
27,1984,638,314,1.96,0.33
28,1984,2245,1170,1.96,0.33
29,1984,303,309,1.96,0.33
30,1984,35126,14457,2.14,0.59
31,1984,50206,24003,2.14,0.59
32,1984,35254,10795,2.14,0.59
33,1984,1621,1085,2.14,0.59
34,1984,30290,8014,1.71,0.39
35,1984,5158,2269,1.71,0.39
36,1984,322,301,1.71,0.39
37,1984,12104,6038,1.71,0.39
38,1984,0,0,1.71,0.39
39,1984,13749,4197,1.71,0.39
40,1984,12074,4176,1.71,0.39
41,1984,2377,1725,2.02,0.73
42,1984,1131,1134,2.02,0.73
43,1984,2515,1640,2.02,0.73
44,1984,0,0,2.02,0.73
45,1984,32869,8732,2.8,0.45
46,1984,15492,8965,2.8,0.45
47,1984,0,0,2.8,0.45
48,1984,15287,8151,2.8,0.45
49,1984,518,584,2.8,0.45
75,1984,10501.92,2829.57,2.59,0.46
76,1984,17932.27,21004.26,2.59,0.46
77,1984,1365.8,1386.52,2.59,0.46
1,1985,268,262,2.43,0.46
2,1985,0,0,2.43,0.46
3,1985,9770,5977,2.43,0.46
4,1985,42697,18125,2.43,0.46
5,1985,0,0,2.43,0.46
6,1985,1247,956,2.43,0.46
7,1985,4282,1877,2.43,0.46
8,1985,2094,1644,2.43,0.46
9,1985,3485,1787,2.43,0.46
10,1985,669,806,2.43,0.46
11,1985,0,0,2.43,0.46
12,1985,16029,7486,2.59,0.46
13,1985,7817,6027,2.59,0.46
14,1985,0,0,2.59,0.46
15,1985,0,0,2.59,0.46
16,1985,0,0,2.59,0.46
17,1985,1205,1203,2.59,0.46
18,1985,0,0,2.59,0.46
20,1985,1070,371,2.59,0.46
21,1985,3389,3335,2.59,0.46
22,1985,2210,1515,2.59,0.46
23,1985,1312,1302,2.59,0.46
24,1985,7151,7276,2.59,0.46
25,1985,14799,5475,2.59,0.46
26,1985,40776,8407,2.66,0.35
27,1985,8656,3476,2.66,0.35
28,1985,3045,958,2.66,0.35
29,1985,4114,2532,2.66,0.35
30,1985,37018,9293,1.27,0.29
31,1985,28484,11081,1.27,0.29
32,1985,17964,6077,1.27,0.29
33,1985,2083,1209,1.27,0.29
34,1985,28466,7327,1.5,0.3
35,1985,4737,1293,1.5,0.3
36,1985,282,264,1.5,0.3
37,1985,13453,4181,1.5,0.3
38,1985,314,358,1.5,0.3
39,1985,11972,6745,1.5,0.3
40,1985,19555,4950,1.5,0.3
41,1985,2089,998,2,0.71
42,1985,0,0,2,0.71
43,1985,0,0,2,0.71
44,1985,1011,706,2,0.71
45,1985,14946,8928,1.36,0.77
46,1985,5170,3216,1.36,0.77
47,1985,0,0,1.36,0.77
48,1985,2338,1785,1.36,0.77
49,1985,1261,1039,1.36,0.77
75,1985,0,0,2.59,0.46
76,1985,0,0,2.59,0.46
77,1985,4015.46,2592.33,2.59,0.46
1,1986,268,262,2.43,0.46
2,1986,0,0,2.43,0.46
3,1986,6856,3437,2.43,0.46
4,1986,65688,24163,2.43,0.46
5,1986,1880,1417,2.43,0.46
6,1986,1247,956,2.43,0.46
7,1986,0,0,2.43,0.46
8,1986,0,0,2.43,0.46
9,1986,996,726,2.43,0.46
10,1986,669,396,2.43,0.46
11,1986,1085,1061,2.43,0.46
12,1986,5958,4779,2.59,0.46
13,1986,12792,5285,2.59,0.46
14,1986,3380,2281,2.59,0.46
15,1986,0,0,2.59,0.46
16,1986,0,0,2.59,0.46
17,1986,9037,7965,2.59,0.46
18,1986,4506,3479,2.59,0.46
20,1986,14709,6109,2.59,0.46
21,1986,609,607,2.59,0.46
22,1986,1263,802,2.59,0.46
23,1986,0,0,2.59,0.46
24,1986,2707,2748,2.59,0.46
25,1986,8758,3645,2.59,0.46
26,1986,44057,14612,2.6,0.33
27,1986,5931,1274,2.6,0.33
28,1986,5962,4580,2.6,0.33
29,1986,3222,1015,2.6,0.33
30,1986,37337,12737,1.43,0.43
31,1986,27404,11292,1.43,0.43
32,1986,25682,9604,1.43,0.43
33,1986,1981,1307,1.43,0.43
34,1986,26403,10187,1.83,0.42
35,1986,8422,2699,1.83,0.42
36,1986,1724,1614,1.83,0.42
37,1986,14821,5671,1.83,0.42
38,1986,384,294,1.83,0.42
39,1986,13940,3698,1.83,0.42
40,1986,17494,5952,1.83,0.42
41,1986,2376,1169,2.02,0.72
42,1986,452,486,2.02,0.72
43,1986,0,0,2.02,0.72
44,1986,0,0,2.02,0.72
45,1986,26911,7444,2.88,0.52
46,1986,9413,3065,2.88,0.52
47,1986,0,0,2.88,0.52
48,1986,7191,4084,2.88,0.52
49,1986,4265,1880,2.88,0.52
50,1986,0,0,2.59,0.46
75,1986,6199.05,4870.89,2.59,0.46
76,1986,1693.6,1330.74,2.59,0.46
77,1986,2676.97,2498.8,2.59,0.46
1,1987,2409,1691,2.43,0.46
2,1987,365,376,2.43,0.46
3,1987,16112,11966,2.43,0.46
